OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,ELEVATION,ICAO_ID,TYPE_CODE,SERVCITY,STATE,COUNTRY,OPERSTATUS,PRIVATEUSE,IAPEXISTS,DODHIFLIP,FAR91,FAR93,MIL_CODE,AIRANAL,US_HIGH,US_LOW,AK_HIGH,AK_LOW,US_AREA,PACIFIC
1,656D38F0-F1FE-49A8-AB4F-677281616EF8,ADK,Adak,51-53-00.8954N,176-38-32.9277W,19.5,PADK,AD,ADAK ISLAND,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
2,F39AFCD2-D07F-4F41-96CF-08B79A271EAB,AKK,Akhiok,56-56-19.2870N,154-10-57.2000W,44.4,PAKH,AD,AKHIOK,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
3,C0EE48D3-E3AD-404E-945D-F404E345020D,Z13,Akiachak,60-54-49.7150N,161-29-35.9850W,22.8,,AD,AKIACHAK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
4,26D96486-FA29-4866-93EB-2EEEB7FA7144,KKI,Akiachak,60-54-28.3130N,161-26-06.2780W,18,,SP,AKIACHAK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
5,C7DF2896-135E-487B-9172-2FF613E7EAF1,AKI,Akiak,60-54-10.4300N,161-13-50.1000W,39.8,PFAK,AD,AKIAK,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
6,81424AAF-E13A-4719-AD36-D26A582192AB,KQA,Akutan,54-08-02.0400N,165-46-42.1800W,0,,SP,AKUTAN,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
7,2441EA57-02E3-47E2-AC9C-1DC54444A884,7AK,Akutan,54-08-40.6000N,165-36-14.7900W,129.3,PAUT,AD,AKUTAN,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
8,978B7D5B-2C47-4B0F-BFBA-63975F26AD11,AUK,Alakanuk,62-40-59.0000N,164-43-19.9000W,21.7,PAUK,AD,ALAKANUK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
9,C3052BE5-3177-4343-9D5A-42B0046D57EE,Z25,Tripod,59-15-47.3250N,158-33-27.9190W,225,,AD,ALEKNAGIK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
10,EA0EB415-23A2-412F-9363-CA84BDB2F0E0,Z33,Aleknagik,59-16-26.3210N,158-37-24.9210W,7,,SP,ALEKNAGIK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
