OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1,12DC7BC6-66BC-46E6-9AE6-05262222B8B5,ADK,MOUNT MOFFETT,51.87187639,-175.3240125,H24,,328.9,530,7,,1,,DECD1B7B-F419-4D71-97AE-25BC91363C1B,,,1,0,7,0,1,1,0,0,0,0
2,7B975D0F-F7C7-4AA9-A83F-87874BC28541,ADK,MOUNT MOFFETT,51.87187639,-175.3240125,H24,,328.9,114,7,,2,,DECD1B7B-F419-4D71-97AE-25BC91363C1B,,087X,1,0,7,0,1,1,0,0,0,0
3,75772A3E-A0F4-4679-8930-646CA4CBF51B,AKP,ANAKTUVUK PASS,68.136625,-150.2557731,H24,,2087.2,348,21,,1,,9AEF327A-93E2-44D5-823A-BE40D20A1138,,,1,0,21,0,1,0,0,0,0,0
4,101040C3-9A85-42B3-8136-DD4A2EA62826,TED,ANCHORAGE,61.16786611,-148.0398586,H24,,92.6,113.15,18,,3,,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,0,,1,0,18,0,1,1,0,0,0,0
5,19E3B97B-DE2A-4ED2-A549-1FEBB5380627,TED,ANCHORAGE,61.16786611,-148.0398586,H24,,92.6,113.15,18,,2,,FE4FD0CD-5FBA-4882-A11D-87EF5F4D5939,0,78Y,1,0,18,0,1,1,0,0,0,0
6,5F1F7F31-F29F-4791-B68C-79A8CCD775C2,CMQ,CAMPBELL LAKE,61.17101611,-149.9523319,H24,,64.7,338,16,,1,,9137F2EC-3E63-4FCB-8DEE-4516A5DD0D95,,,1,0,16,0,1,0,0,0,0,0
7,09675131-FE3B-4B2F-8DB7-0AACBEF6569F,EDF,ELMENDORF,61.25500833,-148.230825,H24,,226.2,113.4,18,,4,,EB4D65BA-F957-48CF-8800-D841C86766CA,0,081X,1,1,18,0,1,1,0,0,0,0
8,B4F99488-8D1B-4F71-B154-57FD4CA5EA45,ANI,ANIAK,61.59015472,-158.4021083,H24,,88,359,14,,1,,4966AA19-55AE-4790-A4CD-0994F4A56B00,,,1,0,14,0,1,1,0,0,0,0
9,6CF9B097-23C4-4B39-BC05-E725EF3693BD,ANN,ANNETTE ISLAND,55.06040861,-130.4216006,H24,,184,117.1,21,,3,,5784C072-8F9C-4AC3-8865-7988EDDEAA56,0,,1,0,21,0,1,1,0,0,0,0
10,F873193A-7E52-4410-A2CB-037AC2465F6C,ANN,ANNETTE ISLAND,55.06040861,-130.4216006,H24,,184,117.1,21,,2,,5784C072-8F9C-4AC3-8865-7988EDDEAA56,0,118X,1,0,21,0,1,1,0,0,0,0
11,641227EF-8E5C-4B9C-BC1E-68D24009E57E,ICK,NICHOLS,55.07088028,-130.3949906,H24,,119,266,18,,1,,2DA16057-3B68-4339-98D9-BBC3AEE30B0A,,,1,0,18,0,1,1,0,0,0,0
12,FA83A8D7-E2DB-4EB6-B0D6-A3C34F8A0591,ATK,ATQASUK,70.46906417,-156.5725047,H24,,97,350,16,,1,,FCB7EED7-8310-40EF-AF56-20E5D910A420,,,1,0,16,0,1,0,0,0,0,0
13,7E271467-038E-4ED9-BA06-92681B2135BA,BRW,BARROW,71.27342639,-155.2118822,H24,,57,116.2,19,,3,,E8711B41-E9E7-4E2E-9770-B4DE36873509,0,,1,0,19,0,1,1,0,0,0,0
14,9FF55817-FDA6-4A1D-B89C-EDC55C872F17,BRW,BARROW,71.27342639,-155.2118822,H24,,57,116.2,19,,2,,E8711B41-E9E7-4E2E-9770-B4DE36873509,0,109X,1,0,19,0,1,1,0,0,0,0
15,22F70403-BCAD-4152-AC36-B5610FAACBF1,VIR,BROWERVILLE,71.28230028,-155.2187317,H24,,40.5,281,19,,1,,F8DD6123-32B5-4F76-98FB-E3D7FD28C9A7,,,1,0,19,0,1,0,0,0,0,0
16,4BD634AD-A98C-4B9D-B19A-0FDA7ECF6E6A,BET,BETHEL,60.78483694,-160.1756703,H24,,105.4,114.1,14,,3,,5EAA342E-AFD1-453A-B2D1-B5891BDD91EB,0,,1,0,14,0,1,1,0,0,0,0
17,287D0EEF-5336-4C22-93A3-5E245FC3C871,BET,BETHEL,60.78483694,-160.1756703,H24,,105.4,114.1,14,,4,,5EAA342E-AFD1-453A-B2D1-B5891BDD91EB,0,088X,1,0,14,0,1,1,0,0,0,0
18,408C1845-7B95-4924-913F-415895AB3F02,OSE,OSCARVILLE,60.79130861,-160.1272403,H24,,155.2,251,11,,1,,7BA2A392-5CD2-4120-A3DB-6FA8CE7F63E8,,,1,0,11,0,1,0,0,0,0,0
