OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
1,C747AD56-6CCF-4130-9255-643A4306CA51,656D38F0-F1FE-49A8-AB4F-677281616EF8,05/23,7790,200,FT,ASPH,2,LIH,1,1,0,0,0,0,1.88927106137271e-05,0.0649145421474493
2,EA83C6B6-306D-4AD0-9BBC-3534B05CA636,F39AFCD2-D07F-4F41-96CF-08B79A271EAB,04/22,3120,50,FT,GRAVE,,,1,0,0,0,0,0,2.13816019822843e-06,0.0291137309917783
3,6D8AC274-5B38-4994-8559-05B048032A21,C0EE48D3-E3AD-404E-945D-F404E345020D,01/19,3300,60,FT,GRAVE,2,LIM,1,0,0,0,0,0,3.04239893011982e-06,0.0237290716982431
4,84E294FE-4120-472E-9186-7FE999B4BA7E,26D96486-FA29-4866-93EB-2EEEB7FA7144,E/W,5000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
5,135362D2-1BD6-45A1-86B6-0B7BA2314384,26D96486-FA29-4866-93EB-2EEEB7FA7144,NW/SE,5000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
6,0687A386-40EF-4AD0-A4A2-FEA0EC331264,C7DF2896-135E-487B-9172-2FF613E7EAF1,03/21,3200,76,FT,GRAVE,2,LIM,1,0,0,0,0,0,3.73473176296102e-06,0.029512616649588
7,C66D674A-7288-401E-A195-DECEE910F5C4,81424AAF-E13A-4719-AD36-D26A582192AB,E/W,10000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
8,76B94CF6-3823-4E9F-B465-EAD81574CA53,2441EA57-02E3-47E2-AC9C-1DC54444A884,09/27,4500,75,FT,ASPH,2,LIM,1,1,0,0,0,0,4.31073749496136e-06,0.0420816711045673
9,5514C208-64C5-4740-8506-A43151DF0742,978B7D5B-2C47-4B0F-BFBA-63975F26AD11,16/34,4000,75,FT,GRAVE,2,LIM,1,1,0,0,0,0,4.88203113491181e-06,0.0227718912573329
10,1E3CAEB1-5D3E-419A-9638-731AD9F7FB09,C3052BE5-3177-4343-9D5A-42B0046D57EE,11/29,1250,300,FT,TURF+GRVL,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
11,0C3A88B2-5EEA-4CC2-AEF4-39BA897B85A3,C3052BE5-3177-4343-9D5A-42B0046D57EE,18/36,850,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
12,7F724C9E-92A3-403F-9682-E775CB4F945A,EA0EB415-23A2-412F-9363-CA84BDB2F0E0,E/W,10000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13,F8FED9BF-3877-4EE4-BB5D-8EDBCD503A47,2C8B7528-C454-4E05-ADEB-95C97327C0A0,15/33,2030,60,FT,GRAVE,,,0,0,0,0,0,0,1.78229674929753e-06,0.0128189904486313
14,D87302E9-E4EF-4F62-A87A-C410F03D1E73,EA527207-EE57-4E6A-863D-605CFA1D51D3,03/21,1400,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
15,B06EB6CA-12DE-4176-A668-62FC7774D3A2,EA527207-EE57-4E6A-863D-605CFA1D51D3,09/27,1500,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
16,D94ED168-BE18-4308-8A79-A6ABBE09C629,B1FD2D53-992B-4DD4-B272-F07D86BA8405,05/23,4000,100,FT,GRAVE,2,LIM,1,1,0,0,0,0,7.50218896428123e-06,0.0537075282819381
17,6E8D5C6F-DB52-4744-BB1D-45729542AC0C,480EB429-A082-44D1-9AFA-3B817200BD30,02/20,1500,70,FT,TURF+GRVL,,,0,0,0,0,0,0,1.86083980224794e-06,0.0157917935611696
18,D51154FE-7DE4-48EB-A202-BBB2E6D0CD96,68F26B27-8421-4403-936D-93FB092E4899,N/S,8000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
19,E3E6BF5C-509A-4EF3-B7B3-48F8C18E4B04,569F20D9-24AD-40DB-A567-78B31DFFCF57,02/20,4800,100,FT,GRAVE,2,LIM,1,1,0,0,0,0,9.61357818596298e-06,0.0494596515373797
20,F498F925-1EF8-4DC7-BD2A-AF98DA0A2E50,BC3FB71D-8FBB-45DD-8BCE-AE2333276A0D,02/20,5000,300,FT,GRAVE,,,1,1,0,0,0,0,0.000275651333054373,0.668320573999949
21,D6126B3B-4226-4F9F-B5C7-5B233B65921F,5D09E895-1187-4D4D-87BD-791CEEA5838D,H1,60,60,FT,ASPH,0,LIM,0,0,0,0,0,0,5.5802047427278e-08,0.00100826599999136
22,17828437-C05F-4A25-BFDC-2A544AEA60EC,EFE165A5-F552-4F56-9DF0-C074CEAEDE93,06/24,1600,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
23,96C61701-5DB0-4197-A74C-E5C94BC9D7AF,EFE165A5-F552-4F56-9DF0-C074CEAEDE93,07W/25W,4000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
24,09E8D2CB-7842-483F-B431-99C1B2832638,00C527EC-A14C-4680-8933-59FC7A8F1755,H1,50,50,FT,ASPH,,,0,0,0,0,0,0,3.8795405998826e-08,0.000840864000053898
25,90F5424F-23D7-4003-AA22-4F4E4A4191AA,6BC28EA2-1C71-4616-97D6-F7D40BDC638E,H1,175,175,FT,ASPH,2,OTHER,0,0,0,0,0,0,4.7506455302937e-07,0.00294226800016032
26,6DF7B295-BAA9-4B2E-882E-CAFE64C18FE9,34C073E9-BFF3-4CA6-BA78-3D5BBCA49C98,01/19,3000,300,FT,GRAVE,,,1,0,0,0,0,0,0.000275651333054373,0.668320573999949
27,983219DB-AB64-4B21-B302-3BE76A2A009C,70E333B1-AF27-4835-8A5F-6C1C94685D02,H1,100,90,FT,OTHER,,,0,0,0,0,0,0,1.39361873152666e-07,0.00156604999990903
28,38C377F0-699D-4DF7-AEBF-620679D1764A,EA5E2B24-43BE-4A5B-BA03-4E1F7414C91F,09/27,1200,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
29,10CB65AC-B109-449B-9E08-8301F264DE49,4318B9AE-C571-49BF-9FB5-E951A7202FEC,13/31,1078,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
30,6883F804-E77E-4652-B888-DCF042CF89EF,B091338B-141C-4523-8330-DA08826B2228,14/32,1000,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
31,4240559E-0BEF-4C7D-8F80-232857FD1F02,39B50599-6534-4E52-BDA7-6C8A645F3C1D,H1,30,30,FT,GRASS,0,OTHER,0,0,0,0,0,0,1.39771145768464e-08,0.000504785999908108
32,0C075469-77F9-4CB9-AB38-1A99AB8D297C,CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,07L/25R,10600,150,FT,ASPH,,LIH,1,1,0,0,0,0,2.4631089218019e-05,0.120885740380921
33,9D31D742-ED88-442F-B100-C408E41E0EFB,CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,25L,12400,200,FT,CONC+ASPH,0,LIH,1,1,0,0,0,0,3.84161539841443e-05,0.141539586562493
34,4F5F32B6-D35C-4A26-BE4F-AB4C47DD49D3,CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,15/33,10865,200,FT,ASPH,0,LIH,1,1,0,0,0,0,3.36782350132125e-05,0.067964045248745
35,91383725-0DC5-4776-8087-AAFFC0751473,5A1DF744-0E16-4402-842D-3B664BA955AB,05/23,2000,60,FT,ASP+GRVL,2,,1,1,0,0,0,0,1.86174656846561e-06,0.0216239419451918
36,5DB76FF9-5D1D-434D-8147-76750649DD4F,5A1DF744-0E16-4402-842D-3B664BA955AB,07/25,4000,100,FT,ASPH,2,LIM,1,1,0,0,0,0,6.20452829025453e-06,0.0459137234510137
37,1E0CBCE8-B83E-4889-BF70-65548AF2ABA9,5A1DF744-0E16-4402-842D-3B664BA955AB,16/34,2640,75,FT,ASPH,2,LIM,1,1,0,0,0,0,3.07065056404099e-06,0.0152895596506499
38,7FECAD72-8C54-4033-AD91-B177E0B6D27D,FC0BEEC4-8E4B-47DE-8DE4-BEFB30DD5DD5,06W/24W,4000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
39,27B50C06-3445-4282-94C8-E697DA02A0F4,580545A5-09BD-4FE7-BC4B-278862D4AD7A,06/24,10000,200,FT,ASPH,0,LIH,1,1,0,0,0,0,3.10632849505055e-05,0.113393520292362
40,94382338-9437-4E65-978A-4F18E92A4E78,580545A5-09BD-4FE7-BC4B-278862D4AD7A,16/34,7493,150,FT,ASPH,,LIH,1,1,0,0,0,0,1.74582237377763e-05,0.0426979254360749
41,F116754C-D9C9-482F-B960-0A266B1BA93A,351E4808-BE7F-42B4-84BE-684ED0059BFD,H1,50,50,FT,ASPH,3,OTHER,1,0,0,0,0,0,3.88081389246508e-08,0.000841055999956097
42,DD15D187-F8EF-4D0B-9DAC-B175A36B20C5,AA363541-A462-4B2F-856B-4611B54D477D,18/36,2000,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
43,EEF28983-8873-4E9E-8AB7-EB736E5BEDC1,C846683F-6FA0-40BD-9BD0-F26AFEE81DB3,16/34,1800,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
44,9DBFF0C1-83B6-4D74-B833-7E83E6FDA307,64268E97-3440-48AB-B1CB-854D60A1D5ED,17/35,4088,100,FT,ASPH,2,LIM,1,1,0,0,0,0,6.35199194221059e-06,0.0248761504495159
45,79876EA2-2E5D-4339-9B35-066289EA1DD0,AD1D9FBD-C521-48F5-B18D-9C38C7054863,16/34,1400,300,FT,DIRT,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
46,9B5E59F0-2A1F-4321-BDA5-18DBFB0A3684,0C72321A-B031-4AD9-B791-01AE780ABF17,17/35,2000,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
47,B2D2D03A-817A-4BCC-B9F6-19B0E57EAF67,3D8493D7-C179-429C-9836-FFC8F5B59FFE,16/34,2500,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
48,65831897-7B06-4165-BA8B-1750A4AA43BD,E4E55EA8-66BE-4080-BFF4-D4BCAFC39D57,N/S,2500,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
49,638722F1-9FA9-47D5-8F7D-0F30C9CB6CAA,9154FBBB-1EDC-46D8-A74C-51E0A073EEDE,NW/SE,10000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
50,F8FF58FD-CD54-41E3-8C44-F98949496580,E7935C52-91CB-44C9-A3EE-161B1E35247C,05W/23W,3000,300,FT,WATER,2,,1,1,0,0,0,0,0.000275651333054373,0.668320573999949
51,82AF1F62-5387-48B9-8BDA-901D2FCB0DFE,58E8C717-5D65-4959-B3C0-5DF54CCA7706,02/20,5709,150,FT,GRAVE,,,1,1,0,0,0,0,1.11821359496389e-05,0.0459764552135562
52,3EC1EEFD-59FF-48AC-9ADF-38EF2037E4E5,58E8C717-5D65-4959-B3C0-5DF54CCA7706,12/30,7493,150,FT,ASPH,,,1,1,0,0,0,0,1.46761276482721e-05,0.0511951854816995
53,255C2623-9F59-4F13-BFFB-927647566129,9EE07136-A478-4410-9F7E-604EE96EC993,NW/SE,10560,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
54,CD260C2E-56FB-4171-9C3D-3BDB841B6965,903040B6-B962-4622-BA61-3754CF5F92E6,17/35,4000,75,FT,GRAVE,2,LIM,1,1,0,0,0,0,4.87602574139601e-06,0.0232609067382047
55,4A2BD6EB-9343-4959-8897-A48A194285AA,442D7C6A-E8A5-472C-BF0F-CF45E06EEAF3,E/W,2000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
56,47E578BB-1AF4-4BDE-8908-4DF9C1127355,06838CEE-3614-430C-80A3-0D92D5DB65A9,02/20,4500,75,FT,GRAVE,2,LIM,1,1,0,0,0,0,6.75627688906388e-06,0.0503125638159798
57,C4B39CB6-3FA7-4E1A-8B29-11DB87876D5A,0903F0CC-E601-488E-92BE-03D76AA630BC,16/34,4500,100,FT,ASPH,0,LIM,1,1,0,0,0,0,5.49758988199756e-06,0.0268274822129478
58,6B129DCB-4D79-4C3E-979B-E1A4EDCDEF4F,3E7FEF08-5FD2-43D8-AD5D-E25F6A98C8A4,15/33,3000,75,FT,GRAVE,2,LIM,1,0,0,0,0,0,3.45281569025246e-06,0.0186538463767214
59,EBB00132-D07F-43E2-8612-4C43E289984E,BF8ECCDF-1ED2-45AC-89FE-5120C73AC6D2,06/24,4370,90,FT,GRAVE,2,LIM,1,1,0,0,0,0,8.77297316037584e-06,0.0711222635563014
60,93CAC774-7B8B-4259-8ED7-5E48027043C4,B80A5BF5-9F1E-4CFA-AAF1-2F50D4F1B73D,02/20,5998,150,FT,ASPH,3,,1,1,0,0,0,0,1.11445906441077e-05,0.0375170733876343
61,7D379111-85FF-4382-BC82-3F4777113E66,38542950-FA0F-4F0B-B64A-4D514CE124EE,E/W,10000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
62,7644523D-3FDD-472C-B830-A259E266150A,28BF17D3-A924-46F2-9230-4AB8A036C316,07/25,7100,150,FT,ASPH,3,LIH,1,1,0,0,0,0,2.47516009039828e-05,0.121630021582136
63,C72166A1-9794-4FA7-A831-E8D4E3240CDE,2A702634-A58C-4708-AA2B-D4BB17E8B59E,07/25,4500,100,FT,GRAVE,2,LIM,1,1,0,0,0,0,9.86635131994262e-06,0.0727723088232723
64,38EE13B1-94ED-4553-A856-3B5703989454,8ADA92D4-A86D-46FC-90C8-0DD77A08D76F,NW/SE,10000,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
65,64F01409-0B5F-407B-88AE-3F0B644BCC67,EF70047D-004C-4350-B5A9-51D25B8E6E7D,16/34,2000,60,FT,GRAVE,,,0,0,0,0,0,0,2.09705740417121e-06,0.012091726980399
66,AA28BA06-259E-4496-93DE-784063DF654B,0C7602A4-08EF-4BFE-AA65-1075D855EBAF,10/28,1400,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
67,4415948C-F686-46B5-83BB-45D428549406,FD85CB3B-92BF-4707-BB48-75679D0C829B,15/33,1800,300,FT,TURF+DIRT,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
68,337F849F-E267-4992-AA4A-5DCED2DE48F6,2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,09/27,1325,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
69,E4A379C6-4369-46A7-BD32-6090642466C3,2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,18/36,820,300,FT,GRAVE,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
70,4DE14C8D-051A-4CBA-8F07-5C786E3CBA72,2FCE989C-E4FA-469E-B292-276FB855191E,05/23,3934,75,FT,GRAVE,2,LIM,1,0,0,0,0,0,5.49168635188835e-06,0.0520358613193158
71,A4D7B2BA-E4A5-4413-8F30-7E5415A11228,EDB97F34-CED9-4776-A5B2-AC40770BB43A,NE/SW,10600,300,FT,WATER,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
