Waypoint Name,Waypoint Type,Latitude,Longitude,Frequency
ADK,D,51.8711,-176.674,114
AFE,D,56.9639,-133.912,114.4
AIX,D,60.3852,-166.215,112.9
AKN,D,58.7247,-156.752,112.8
AKW,D,55.5684,-133.081,115.8
ANN,D,55.0604,-131.578,117.1
BET,D,60.7848,-161.824,114.1
BGQ,D,61.5695,-149.967,112.5
BIG,D,64.0045,-145.717,114.9
BKA,D,56.8594,-135.551,113.8
BRW,D,71.2734,-156.788,116.2
BTT,D,66.905,-151.536,116
BVK,D,65.9789,-161.146,113.1
CDB,D,55.2673,-162.774,112.6
CZF,D,61.776,-166.043,116.75
DGG,D,68.0325,-162.904,108.6
DLG,D,58.9942,-158.552,116.4
DUT,D,53.905,-166.549,113.9
EDF,D,61.255,-149.769,113.4
EHM,D,58.656,-162.074,108.15
EIL,D,64.6538,-147.094,115.1
ENA,D,60.6147,-151.195,117.6
ENM,D,62.7846,-164.488,117.8
ENN,D,64.59,-149.073,115.8
FAI,D,64.8001,-148.012,108.6
FYU,D,66.5743,-145.277,114.4
GAL,D,64.7381,-156.777,114.8
GAM,D,63.7819,-171.737,114.5
GKN,D,62.1538,-145.447,115.6
HBT,D,55.3158,-160.519,113.2
HOM,D,59.7094,-151.457,114.6
HPB,D,61.5143,-166.134,115.2
HSL,D,65.7079,-156.363,117.4
ILI,D,59.7475,-154.91,114.4
JOH,D,60.481,-146.599,116.7
KKA,D,64.9364,-161.155,113.6
LUR,D,68.8713,-166.076,108.35
LVD,D,56.4677,-133.083,116.5
MCG,D,62.951,-155.611,115.5
MDO,D,59.4218,-146.35,115.3
MOS,D,64.6965,-162.071,116.3
ODK,D,57.775,-152.34,117.1
OLT,D,60.4753,-150.879,115.9
OME,D,64.4851,-165.253,115
OQK,D,67.5697,-162.973,110.2
ORT,D,62.9472,-141.913,116.3
OTZ,D,66.8857,-162.54,115.7
PDN,D,56.9543,-158.648,109.5
SCC,D,70.1992,-148.416,113.9
SPY,D,57.1568,-170.233,109.9
SQA,D,61.0986,-155.635,117.2
SRI,D,56.5722,-169.648,114.9
SSR,D,58.1777,-135.259,114
SYA,D,52.7183,174.062,109
TAL,D,65.1771,-152.178,116.6
TED,D,61.1679,-149.96,113.15
TKA,D,62.2984,-150.105,116.2
TNC,D,65.5617,-167.925,117.25
TOG,D,59.0636,-160.375,116.7
ULL,D,63.6923,-170.47,117.3
UNK,D,63.8919,-160.684,116.9
UTO,D,65.9952,-153.694,108.55
VBI,D,49.4769,-94.0467,115.2
VLN,D,50.6669,-104.89,114.2
VLV,D,45.9251,-70.846,117.2
WLK,D,66.5995,-159.991,114.2
YAK,D,59.5108,-139.648,113.3
YBR,D,49.91,-99.9457,113.8
YDC,D,49.3816,-120.374,113.9
YFC,D,45.8953,-66.4189,113
YJN,D,45.2558,-73.3213,115.8
YMX,D,45.8883,-74.3758,116.7
YOW,D,45.4417,-75.8969,114.6
YQB,D,46.7053,-71.6263,112.8
YQG,D,42.2497,-82.8289,113.8
YQI,D,43.8251,-66.0824,113.3
YQL,D,49.6345,-112.668,115.7
YQM,D,46.189,-64.5708,117.3
YQO,D,42.7067,-80.8879,114.2
YQT,D,48.2538,-89.4376,114.1
YRL,D,51.0714,-93.7619,114
YSB,D,46.6292,-80.7982,112.3
YSC,D,45.3164,-71.7881,113.2
YSJ,D,45.4073,-65.8702,113.5
YTS,D,48.5719,-81.37,113
YUL,D,45.6158,-73.9708,116.3
YVR,D,49.0773,-123.149,115.9
YVV,D,44.7447,-81.105,117.7
YWG,D,49.9278,-97.2392,115.5
YWL,D,52.2369,-122.17,113.6
YXC,D,49.555,-116.088,112.1
YXU,D,43.0379,-81.1489,117.2
YXY,D,60.6189,-135.139,116.6
YXZ,D,47.9505,-84.8231,112.7
YYC,D,51.115,-113.881,116.7
YYJ,D,48.727,-123.484,113.7
YYN,D,50.2969,-107.69,117.4
YYY,D,48.6121,-68.209,115.9
YYZ,D,43.658,-79.6314,112.15
YZP,D,53.2522,-131.807,114.1
YZT,D,50.6841,-127.365,112
YZV,D,50.2321,-66.2739,114.5
IBET,D,60.7686,-161.848,111.5
IBIG,D,63.9887,-145.702,111.1
IBRW,D,71.2849,-156.736,110.5
ICDV,D,60.4981,-145.5,110.7
IDLG,D,59.0369,-158.516,111.9
IADQ,D,57.7517,-152.521,110.9
IENA,D,60.561,-151.26,108.9
ICNA,D,64.8308,-147.838,109.1
IFAI,D,64.8004,-147.891,110.3
IHOM,D,59.6516,-151.458,109.3
IJDL,D,58.3586,-134.636,109.9
IAKN,D,58.6666,-156.625,110.3
IECH,D,55.3452,-131.694,109.3
IRGN,D,70.3283,-149.633,110.7
IRHF,D,70.3331,-149.563,111.9
IMCG,D,62.9464,-155.607,108.5
IANC,D,61.1672,-149.966,111.3
IBSC,D,61.1667,-149.995,111.75
ITGN,D,61.1706,-149.943,109.9
IANI,D,61.577,-159.525,109.7
IOME,D,64.515,-165.476,108.7
IOTZ,D,66.887,-162.569,110.7
IPSG,D,56.8007,-132.927,110.5
ISCC,D,70.198,-148.424,109.3
ISIT,D,57.0472,-135.366,108.9
ISMA,D,62.0538,-163.3,109.1
IUNK,D,63.881,-160.793,111.3
IVDZ,D,61.1353,-146.22,109.5
IRGL,D,56.4845,-132.362,108.5
ACE,DB,59.6413,-151.5,27.7
ADK,DB,51.8719,-176.676,53
AES,DB,62.9493,-141.91,39
AFE,DB,56.9639,-133.912,22.3
AIX,DB,60.3853,-166.214,32.3
AKP,DB,68.1366,-151.744,34.8
AKW,DB,55.5686,-133.081,22.9
ALJ,DB,60.4798,-146.587,23.3
AMF,DB,67.1052,-157.86,40.3
ANI,DB,61.5902,-159.598,35.9
ANV,DB,62.6415,-160.185,36.5
AP,DB,48.874,-123.29,37.8
ATK,DB,70.4691,-157.427,35
AUB,DB,58.7372,-156.778,35.5
BCC,DB,65.1739,-152.206,21.2
BTS,DB,58.9996,-158.548,42.9
BVK,DB,65.9787,-161.146,32.5
CGL,DB,58.3593,-134.699,21.2
CMJ,DB,55.3422,-131.691,39.6
CMQ,DB,61.171,-150.048,33.8
CQR,DB,67.5024,-148.469,26.3
CRN,DB,61.1018,-155.569,28.1
CUN,DB,64.8386,-147.495,25.7
CYT,DB,60.0862,-142.489,20.9
CZF,DB,61.7904,-165.97,27.5
DB,DB,61.3402,-138.983,34.1
DGG,DB,68.0325,-162.904,42.9
DJN,DB,64.0235,-145.687,34.7
DUT,DB,53.9051,-166.548,28.3
EAV,DB,66.8932,-151.564,39.1
EEF,DB,58.171,-135.258,39.1
EHM,DB,58.656,-162.074,38.5
ELF,DB,55.2961,-162.789,34.1
FDV,DB,64.4947,-165.315,52.9
FTO,DB,66.58,-145.213,24.2
GAM,DB,63.7819,-171.737,36.9
GBH,DB,68.479,-149.498,41.7
GCR,DB,60.4988,-145.474,40.4
GLA,DB,62.1955,-145.468,24.8
HBT,DB,55.3157,-160.518,39
HHM,DB,66.9013,-162.564,35.6
HNS,DB,59.2121,-135.431,24.5
IB,DB,48.8252,-91.5776,20.9
ICK,DB,55.0709,-131.605,26.6
ICW,DB,64.5457,-149.077,52.5
ILI,DB,59.7481,-154.91,41.1
IME,DB,57.0473,-135.366,41.4
IWW,DB,60.5987,-151.211,37.9
JNR,DB,63.9077,-160.812,38.2
KKA,DB,64.9364,-161.155,29.9
LUR,DB,68.8713,-166.076,38.5
MHM,DB,63.8839,-152.316,22.7
MNL,DB,61.1242,-146.352,52.4
OAY,DB,64.6955,-162.064,26.3
OCC,DB,59.5436,-139.728,38.5
OLT,DB,60.4749,-150.879,34.6
OQK,DB,67.5701,-162.973,41.4
OSE,DB,60.7913,-161.873,25.1
PDN,DB,56.9543,-158.648,37.1
PEE,DB,62.331,-150.096,30.5
PHO,DB,68.3446,-166.798,22.1
PIZ,DB,69.7365,-162.996,36.2
PJ,DB,60.4394,-134.861,32.9
PR,DB,54.2634,-130.424,21.8
PVQ,DB,70.2227,-148.416,37.6
PYC,DB,70.328,-149.635,29
QI,DB,43.7933,-66.1261,20.6
QQ,DB,49.754,-124.958,40
RWO,DB,57.7748,-152.325,39.4
SHH,DB,66.2581,-166.052,36.5
SIT,DB,56.8546,-135.534,35.8
